PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2010,40,1.10939,1.13505,2627,1677,X,3142,627,400,8473,1838,746485
National,X,2010,41,1.24341,1.25256,2953,1779,X,3522,649,444,9347,1875,746230
National,X,2010,42,1.25726,1.2457,3044,1898,X,3641,690,411,9684,1907,777397
National,X,2010,43,1.25734,1.26774,3226,1754,X,3822,682,420,9904,1929,781234
National,X,2010,44,1.43414,1.43723,3451,1981,X,4397,736,455,11020,1947,766753
National,X,2010,45,1.51838,1.53341,3927,1956,X,4679,734,511,11807,1940,769982
National,X,2010,46,1.61617,1.69445,4416,2327,X,5322,774,497,13336,1921,787038
National,X,2010,47,1.84378,1.9915,4598,2043,X,4145,743,550,12079,1938,606527
National,X,2010,48,1.72535,1.81305,5045,2440,X,4978,915,619,13997,1964,772016
National,X,2010,49,1.87923,2.01426,5060,2511,X,5867,893,627,14958,1936,742606
National,X,2010,50,2.3371,2.55659,6300,2847,X,7194,1031,650,18022,1916,704923
National,X,2010,51,3.03533,3.38185,7295,3433,X,7071,1262,838,19899,1840,588406
National,X,2010,52,3.136,3.43172,7478,4455,X,5764,1581,1068,20346,1887,592880
National,X,2011,1,2.53336,2.69151,6584,4455,X,6342,1586,1059,20026,1923,744043
National,X,2011,2,2.91288,2.91063,6238,4220,X,7773,1537,953,20721,1921,711908
National,X,2011,3,3.44497,3.49232,7247,5095,X,11243,1734,938,26257,1964,751850
National,X,2011,4,4.16185,4.0037,8007,5952,X,15291,1794,931,31975,1947,798637
National,X,2011,5,4.55159,4.43534,8195,6536,X,16366,1990,1197,34284,1970,772974
National,X,2011,6,4.46504,4.24215,8036,6812,X,16516,1996,1096,34456,1961,812230
National,X,2011,7,4.55124,4.39719,8172,7257,X,17493,2352,1293,36567,1910,831600
National,X,2011,8,4.0822,3.90256,7839,6425,X,13718,2028,1267,31277,1908,801449
National,X,2011,9,3.38812,3.15073,6376,4869,X,10496,1740,1146,24627,1860,781629
National,X,2011,10,2.99142,2.72422,5691,3939,X,8427,1421,899,20377,1829,747993
National,X,2011,11,2.61542,2.33336,5363,3265,X,6702,1175,804,17309,1823,741807
National,X,2011,12,2.09065,1.925,4400,2551,X,5489,978,613,14031,1790,728883
National,X,2011,13,1.86146,1.75243,4189,2244,X,5025,877,622,12957,1770,739375
National,X,2011,14,1.61377,1.57704,3701,1985,X,4557,747,508,11498,1723,729089
National,X,2011,15,1.42199,1.35766,3164,1574,X,3562,641,450,9391,1681,691707
National,X,2011,16,1.3382,1.31223,3139,1505,X,3064,559,428,8695,1651,662612
National,X,2011,17,1.19995,1.14937,2895,1324,X,2673,555,383,7830,1612,681240
National,X,2011,18,1.14889,1.11451,2532,1305,X,2553,524,393,7307,1585,655627
National,X,2011,19,1.12194,1.10984,2551,1254,X,2595,485,351,7236,1556,651983
National,X,2011,20,1.06712,1.0524,2353,1131,X,2280,461,305,6530,1516,620485
National,X,2011,21,1.05058,1.03536,2213,1045,X,2110,405,299,6072,1381,586460
National,X,2011,22,1.15203,1.11777,2249,1013,X,1980,397,307,5946,1357,531954
National,X,2011,23,0.970975,0.982949,2040,1037,X,1760,432,278,5547,1296,564322
National,X,2011,24,0.894683,0.925194,1812,911,X,1599,405,262,4989,1279,539238
National,X,2011,25,0.843568,0.835531,1604,870,X,1422,308,244,4448,1251,532356
National,X,2011,26,0.815409,0.832393,1472,750,X,1462,324,210,4218,1225,506732
National,X,2011,27,0.823052,0.855591,1423,823,X,1269,270,224,4009,1211,468565
National,X,2011,28,0.674635,0.706949,1255,756,X,1206,316,188,3721,1220,526346
National,X,2011,29,0.631883,0.694387,1243,733,X,1184,259,178,3597,1203,518011
National,X,2011,30,0.641513,0.687976,1251,667,X,1188,263,169,3538,1179,514262
National,X,2011,31,0.529813,0.644743,1088,635,X,1125,203,151,3202,1175,496632
National,X,2011,32,0.644089,0.67533,1207,704,X,1223,231,158,3523,1175,521671
National,X,2011,33,0.667718,0.72823,1342,767,X,1358,241,166,3874,1191,531975
National,X,2011,34,0.705668,0.806526,1505,814,X,1600,305,220,4444,1195,551005
National,X,2011,35,0.804155,0.860408,1528,887,X,1781,308,213,4717,1200,548228
National,X,2011,36,0.907804,0.936075,1622,904,X,1809,293,185,4813,1184,514168
National,X,2011,37,1.00555,0.966683,1788,1022,X,2206,346,205,5567,1196,575887
National,X,2011,38,1.03601,0.996007,1816,1126,X,2264,374,242,5822,1201,584534
National,X,2011,39,1.07583,1.10846,2248,1253,X,2514,449,244,6708,1213,605162
National,X,2011,40,1.16092,1.20345,3106,1765,X,3485,632,377,9365,1850,778182
National,X,2011,41,1.19785,1.23777,3317,1777,X,3667,672,370,9803,1883,791987
National,X,2011,42,1.27926,1.25259,3324,1763,X,3837,655,379,9958,1905,794995
National,X,2011,43,1.29194,1.30546,3453,1773,X,4035,657,380,10298,1900,788840
National,X,2011,44,1.42824,1.45295,3634,1957,X,4658,760,387,11396,1925,784334
National,X,2011,45,1.39803,1.44089,3949,2072,X,4348,671,456,11496,1946,797839
National,X,2011,46,1.45831,1.46221,3923,2166,X,4361,797,474,11721,1900,801594
National,X,2011,47,1.56548,1.65573,4125,1803,X,3340,679,430,10377,1918,626731
National,X,2011,48,1.34313,1.46606,4237,2059,X,3955,815,413,11479,1904,782984
National,X,2011,49,1.48139,1.51811,3995,1938,X,4040,772,442,11187,1898,736905
National,X,2011,50,1.63398,1.66429,4579,2077,X,4097,838,546,12137,1872,729258
National,X,2011,51,1.83126,1.85274,5016,2068,X,3535,818,521,11958,1851,645424
National,X,2011,52,2.10451,2.12413,5243,2315,X,3184,946,668,12356,1821,581697
National,X,2012,1,1.73625,1.76709,4514,2342,X,3393,1028,715,11992,1891,678631
National,X,2012,2,1.55066,1.5434,4059,2319,X,3636,918,611,11543,1883,747894
National,X,2012,3,1.62891,1.64762,4364,2247,X,4030,800,498,11939,1887,724623
National,X,2012,4,1.76038,1.6843,4766,2303,X,4802,825,513,13209,1891,784244
National,X,2012,5,1.92728,1.86354,5218,2415,X,5336,915,564,14448,1885,775298
National,X,2012,6,1.91994,1.86408,5028,2582,X,5555,894,565,14624,1875,784516
National,X,2012,7,2.09951,2.01839,5277,2937,X,5994,1054,667,15929,1884,789193
National,X,2012,8,2.23973,2.10385,5246,3009,X,5990,1131,761,16137,1853,767022
National,X,2012,9,2.21921,2.09555,5219,3141,X,6239,1153,766,16518,1826,788242
National,X,2012,10,2.16693,2.10398,4811,2832,X,6493,998,629,15763,1816,749198
National,X,2012,11,2.38913,2.2941,5175,3321,X,6768,1185,701,17150,1819,747570
National,X,2012,12,1.96466,1.92223,4422,2822,X,5683,988,609,14524,1780,755579
National,X,2012,13,1.84229,1.74239,3807,2485,X,5256,920,549,13017,1753,747079
National,X,2012,14,1.68674,1.67601,3582,2306,X,4631,839,572,11930,1729,711808
National,X,2012,15,1.53136,1.49637,3253,2109,X,4059,767,544,10732,1707,717202
National,X,2012,16,1.37912,1.38202,3001,1990,X,4020,719,393,10123,1699,732480
National,X,2012,17,1.29515,1.28926,2638,1831,X,3802,664,435,9370,1675,726772
National,X,2012,18,1.39521,1.35803,2509,1728,X,3671,636,455,8999,1564,662649
National,X,2012,19,1.32522,1.30833,2524,1559,X,3468,606,419,8576,1546,655492
National,X,2012,20,1.23059,1.26692,2465,1547,X,3087,588,375,8062,1503,636347
National,X,2012,21,1.23028,1.27731,2545,1461,X,3011,483,378,7878,1415,616765
National,X,2012,22,1.26877,1.2991,2480,1276,X,2601,446,350,7153,1409,550614
National,X,2012,23,1.10782,1.16297,2336,1281,X,2352,458,338,6765,1365,581700
National,X,2012,24,1.09559,1.08612,2231,1150,X,2024,428,300,6133,1289,564670
National,X,2012,25,1.11031,1.0568,2259,1119,X,1974,411,285,6048,1295,572296
National,X,2012,26,1.10616,1.07871,2168,1058,X,1850,422,288,5786,1260,536380
National,X,2012,27,1.10816,1.04662,1911,1013,X,1706,388,273,5291,1271,505533
National,X,2012,28,0.999444,0.928152,1913,964,X,1751,337,220,5185,1240,558637
National,X,2012,29,0.924199,0.901936,1818,914,X,1640,318,241,4931,1223,546713
National,X,2012,30,0.949257,0.915356,1752,975,X,1721,372,283,5103,1250,557488
National,X,2012,31,0.978903,0.952548,1728,1050,X,1706,408,267,5159,1240,541600
